verb,uri,controller,method,api_line,authorization,how,menu_id,menu,confidence
GET,"/agents",Agentic\AgentController,index,1377,AUTH-ONLY,"no role check found",,"",0
POST,"/agents",Agentic\AgentController,store,1378,AUTH-ONLY,"no role check found",,"",0
GET,"/agents/meta",Agentic\AgentController,meta,1376,AUTH-ONLY,"no role check found",,"",0
GET,"/agents/{id}",Agentic\AgentController,show,1390,AUTH-ONLY,"no role check found",,"",0
PUT,"/agents/{id}",Agentic\AgentController,update,1391,AUTH-ONLY,"no role check found",,"",0
DELETE,"/agents/{id}",Agentic\AgentController,destroy,1392,AUTH-ONLY,"no role check found",,"",0
POST,"/agents/{id}/clone",Agentic\AgentController,clone,1379,AUTH-ONLY,"no role check found",,"",0
PATCH,"/agents/{id}/status",Agentic\AgentController,setStatus,1380,AUTH-ONLY,"no role check found",217,"Status Management",1
GET,"/analytics/dashboard",Agentic\AnalyticsController,dashboard,1410,AUTH-ONLY,"no role check found",161,"Organization Dashboard",1
GET,"/analytics/overview",Agentic\AnalyticsController,overview,1411,AUTH-ONLY,"no role check found",184,"Employee Directory Analytics Report",1
GET,"/agents/{id}/config",Agentic\ConfigController,show,1385,AUTH-ONLY,"no role check found",,"",0
POST,"/agents/{id}/config",Agentic\ConfigController,update,1386,AUTH-ONLY,"no role check found",,"",0
PUT,"/agents/{id}/config",Agentic\ConfigController,update,1387,AUTH-ONLY,"no role check found",,"",0
DELETE,"/agents/{id}/config",Agentic\ConfigController,destroy,1388,AUTH-ONLY,"no role check found",,"",0
GET,"/reflection",Agentic\ReflectionController,index,1432,AUTH-ONLY,"no role check found",193,"Reflection",1
POST,"/reflection/analyse",Agentic\ReflectionController,analyse,1433,AUTH-ONLY,"no role check found",193,"Reflection",1
PUT,"/reflection/optimizations/{id}",Agentic\ReflectionController,updateOptimization,1434,AUTH-ONLY,"no role check found",193,"Reflection",1
POST,"/agents/{id}/run",Agentic\RunController,start,1381,AUTH-ONLY,"no role check found",,"",0
GET,"/runs",Agentic\RunController,index,1395,AUTH-ONLY,"no role check found",,"",0
GET,"/runs/{id}",Agentic\RunController,show,1399,AUTH-ONLY,"no role check found",,"",0
PUT,"/runs/{id}",Agentic\RunController,update,1400,AUTH-ONLY,"no role check found",,"",0
DELETE,"/runs/{id}",Agentic\RunController,destroy,1401,AUTH-ONLY,"no role check found",,"",0
POST,"/runs/{id}/cancel",Agentic\RunController,cancel,1398,AUTH-ONLY,"no role check found",,"",0
POST,"/runs/{id}/tasks",Agentic\RunController,addTask,1397,AUTH-ONLY,"no role check found",211,"My Tasks",1
GET,"/runs/{id}/trace",Agentic\RunController,trace,1396,AUTH-ONLY,"no role check found",,"",0
GET,"/tools",Agentic\ToolController,catalogue,1404,AUTH-ONLY,"no role check found",9,"Communication Tools",1
GET,"/tools/invocations",Agentic\ToolController,invocations,1405,AUTH-ONLY,"no role check found",9,"Communication Tools",1
GET,"/tools/invocations/{id}",Agentic\ToolController,showInvocation,1406,AUTH-ONLY,"no role check found",9,"Communication Tools",1
POST,"/tools/{tool}/invoke",Agentic\ToolController,invoke,1407,AUTH-ONLY,"no role check found",9,"Communication Tools",1
GET,"/messages",Agentic\WorkflowController,messages,1428,AUTH-ONLY,"no role check found",,"",0
POST,"/messages",Agentic\WorkflowController,storeMessage,1429,AUTH-ONLY,"no role check found",,"",0
GET,"/workflow-runs/{id}",Agentic\WorkflowController,showRun,1424,AUTH-ONLY,"no role check found",,"",0
PUT,"/workflow-runs/{id}/steps/{stepRunId}",Agentic\WorkflowController,updateStepRun,1425,AUTH-ONLY,"no role check found",,"",0
GET,"/workflows",Agentic\WorkflowController,index,1414,AUTH-ONLY,"no role check found",,"",0
POST,"/workflows",Agentic\WorkflowController,store,1415,AUTH-ONLY,"no role check found",,"",0
GET,"/workflows/{id}",Agentic\WorkflowController,show,1420,AUTH-ONLY,"no role check found",,"",0
PUT,"/workflows/{id}",Agentic\WorkflowController,update,1421,AUTH-ONLY,"no role check found",,"",0
DELETE,"/workflows/{id}",Agentic\WorkflowController,destroy,1422,AUTH-ONLY,"no role check found",,"",0
